
individual 6: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N17(117, 149) ) ( 3, N6(11, 141) ) ( 4, N1(69, 24) ) ( 5, N26(137, 109) ) ( 6, N4(55, 95) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N12(21, 66) ) ( 10, N20(122, 33) ) ( 11, N13(68, 95) ) ( 12, N-1 ) ( 13, N0(34, 0) ) ( 14, N7(95, 142) ) ( 15, G(1, 2) )( 16, N24(47, 144) ) ( 17, N9(41, 4) ) ( 18, N19(53, 11) ) ( 19, N22(91, 61) ) ( 20, N10(52, 3) ) ( 21, N15(21, 138) ) ( 22, G(1, 3) )( 23, N25(62, 107) ) ( 24, N21(23, 64) ) ( 25, N5(131, 77) ) ( 26, N18(35, 44) ) ( 27, N11(142, 32) ) ( 28, N23(103, 68) ) ( 29, G(1, 4) )( 30, N8(127, 136) ) ( 31, N2(128, 8) ) ( 32, N16(69, 112) ) ( 33, N3(12, 64) ) ( 34, N14(147, 76) ) ( 35, N-1 ) 

individual 7: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N17(117, 149) ) ( 3, N12(21, 66) ) ( 4, N5(131, 77) ) ( 5, N16(69, 112) ) ( 6, N3(12, 64) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N2(128, 8) ) ( 10, N22(91, 61) ) ( 11, N14(147, 76) ) ( 12, N-1 ) ( 13, N8(127, 136) ) ( 14, N23(103, 68) ) ( 15, G(1, 2) )( 16, N21(23, 64) ) ( 17, N11(142, 32) ) ( 18, N6(11, 141) ) ( 19, N1(69, 24) ) ( 20, N25(62, 107) ) ( 21, N9(41, 4) ) ( 22, G(1, 3) )( 23, N18(35, 44) ) ( 24, N7(95, 142) ) ( 25, N24(47, 144) ) ( 26, N15(21, 138) ) ( 27, N0(34, 0) ) ( 28, N20(122, 33) ) ( 29, G(1, 4) )( 30, N-1 ) ( 31, N19(53, 11) ) ( 32, N10(52, 3) ) ( 33, N13(68, 95) ) ( 34, N26(137, 109) ) ( 35, N4(55, 95) ) 

individual 8: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N22(91, 61) ) ( 3, N8(127, 136) ) ( 4, N24(47, 144) ) ( 5, N23(103, 68) ) ( 6, N11(142, 32) ) ( 7, N14(147, 76) ) ( 8, G(1, 1) )( 9, N10(52, 3) ) ( 10, N9(41, 4) ) ( 11, N0(34, 0) ) ( 12, N12(21, 66) ) ( 13, N21(23, 64) ) ( 14, N5(131, 77) ) ( 15, G(1, 2) )( 16, N7(95, 142) ) ( 17, N13(68, 95) ) ( 18, N4(55, 95) ) ( 19, N15(21, 138) ) ( 20, N25(62, 107) ) ( 21, N17(117, 149) ) ( 22, G(1, 3) )( 23, N3(12, 64) ) ( 24, N19(53, 11) ) ( 25, N6(11, 141) ) ( 26, N2(128, 8) ) ( 27, N26(137, 109) ) ( 28, N20(122, 33) ) ( 29, G(1, 4) )( 30, N-1 ) ( 31, N16(69, 112) ) ( 32, N-1 ) ( 33, N18(35, 44) ) ( 34, N1(69, 24) ) ( 35, N-1 ) 

individual 9: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N22(91, 61) ) ( 3, N0(34, 0) ) ( 4, N13(68, 95) ) ( 5, N2(128, 8) ) ( 6, N26(137, 109) ) ( 7, N1(69, 24) ) ( 8, G(1, 1) )( 9, N8(127, 136) ) ( 10, N17(117, 149) ) ( 11, N10(52, 3) ) ( 12, N24(47, 144) ) ( 13, N23(103, 68) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N11(142, 32) ) ( 18, N16(69, 112) ) ( 19, N5(131, 77) ) ( 20, N4(55, 95) ) ( 21, N7(95, 142) ) ( 22, G(1, 3) )( 23, N9(41, 4) ) ( 24, N-1 ) ( 25, N15(21, 138) ) ( 26, N6(11, 141) ) ( 27, N25(62, 107) ) ( 28, N3(12, 64) ) ( 29, G(1, 4) )( 30, N21(23, 64) ) ( 31, N12(21, 66) ) ( 32, N18(35, 44) ) ( 33, N20(122, 33) ) ( 34, N14(147, 76) ) ( 35, N19(53, 11) ) 

individual 10: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N22(91, 61) ) ( 3, N10(52, 3) ) ( 4, N1(69, 24) ) ( 5, N3(12, 64) ) ( 6, N18(35, 44) ) ( 7, N13(68, 95) ) ( 8, G(1, 1) )( 9, N-1 ) ( 10, N0(34, 0) ) ( 11, N20(122, 33) ) ( 12, N5(131, 77) ) ( 13, N26(137, 109) ) ( 14, N19(53, 11) ) ( 15, G(1, 2) )( 16, N23(103, 68) ) ( 17, N16(69, 112) ) ( 18, N15(21, 138) ) ( 19, N7(95, 142) ) ( 20, N14(147, 76) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N8(127, 136) ) ( 24, N9(41, 4) ) ( 25, N17(117, 149) ) ( 26, N11(142, 32) ) ( 27, N6(11, 141) ) ( 28, N2(128, 8) ) ( 29, G(1, 4) )( 30, N4(55, 95) ) ( 31, N24(47, 144) ) ( 32, N25(62, 107) ) ( 33, N21(23, 64) ) ( 34, N12(21, 66) ) ( 35, N-1 ) 
