 CH's ID: 1
node: 1
nID1: 21, nID2: 153, key value: 174
nID1: 21, nID2: 153, key value: 174
nID1: 8, nID2: 153, key value: 161
nID1: 153, nID2: 310, key value: 463
nID1: 8, nID2: 153, key value: 161
nID1: 153, nID2: 310, key value: 463

node: 297
nID1: 20, nID2: 297, key value: 317
nID1: 297, nID2: 307, key value: 604
nID1: 297, nID2: 321, key value: 618
nID1: 7, nID2: 297, key value: 304
nID1: 21, nID2: 297, key value: 318
nID1: 178, nID2: 297, key value: 475
nID1: 179, nID2: 297, key value: 476
nID1: 297, nID2: 321, key value: 618
nID1: 297, nID2: 307, key value: 604
nID1: 20, nID2: 297, key value: 317
nID1: 21, nID2: 297, key value: 318
nID1: 7, nID2: 297, key value: 304
nID1: 178, nID2: 297, key value: 475
nID1: 179, nID2: 297, key value: 476



 CH's ID: 11
node: 11
nID1: 11, nID2: 179, key value: 190
nID1: 11, nID2: 178, key value: 189
nID1: 11, nID2: 321, key value: 332
nID1: 8, nID2: 11, key value: 19
nID1: 11, nID2: 21, key value: 32
nID1: 11, nID2: 310, key value: 321
nID1: 11, nID2: 178, key value: 189
nID1: 11, nID2: 321, key value: 332
nID1: 11, nID2: 46, key value: 57
nID1: 11, nID2: 191, key value: 202
nID1: 11, nID2: 21, key value: 32
nID1: 8, nID2: 11, key value: 19
nID1: 11, nID2: 310, key value: 321
nID1: 11, nID2: 179, key value: 190

node: 155
nID1: 155, nID2: 310, key value: 465
nID1: 155, nID2: 311, key value: 466
nID1: 155, nID2: 298, key value: 453
nID1: 155, nID2: 310, key value: 465
nID1: 155, nID2: 298, key value: 453
nID1: 155, nID2: 311, key value: 466

node: 299
nID1: 178, nID2: 299, key value: 477
nID1: 179, nID2: 299, key value: 478
nID1: 299, nID2: 310, key value: 609
nID1: 9, nID2: 299, key value: 308
nID1: 299, nID2: 311, key value: 610
nID1: 178, nID2: 299, key value: 477
nID1: 179, nID2: 299, key value: 478
nID1: 299, nID2: 310, key value: 609
nID1: 9, nID2: 299, key value: 308
nID1: 299, nID2: 311, key value: 610



 CH's ID: 14
node: 14
nID1: 14, nID2: 289, key value: 303
nID1: 14, nID2: 39, key value: 53
nID1: 14, nID2: 40, key value: 54
nID1: 14, nID2: 50, key value: 64
nID1: 14, nID2: 195, key value: 209
nID1: 14, nID2: 196, key value: 210
nID1: 14, nID2: 145, key value: 159
nID1: 13, nID2: 14, key value: 27
nID1: 14, nID2: 145, key value: 159
nID1: 2, nID2: 14, key value: 16
nID1: 14, nID2: 156, key value: 170
nID1: 14, nID2: 289, key value: 303
nID1: 14, nID2: 144, key value: 158
