
individual 6: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N30(11, 94) ) ( 3, N19(53, 11) ) ( 4, N6(11, 141) ) ( 5, N26(137, 109) ) ( 6, N-1 ) ( 7, N17(117, 149) ) ( 8, G(1, 1) )( 9, N13(68, 95) ) ( 10, N23(103, 68) ) ( 11, N8(127, 136) ) ( 12, N27(36, 37) ) ( 13, N15(21, 138) ) ( 14, N14(147, 76) ) ( 15, G(1, 2) )( 16, N20(122, 33) ) ( 17, N9(41, 4) ) ( 18, N16(69, 112) ) ( 19, N28(83, 47) ) ( 20, N-1 ) ( 21, N11(142, 32) ) ( 22, G(1, 3) )( 23, N32(119, 53) ) ( 24, N18(35, 44) ) ( 25, N10(52, 3) ) ( 26, N29(128, 48) ) ( 27, N25(62, 107) ) ( 28, N24(47, 144) ) ( 29, G(1, 4) )( 30, N7(95, 142) ) ( 31, N12(21, 66) ) ( 32, N-1 ) ( 33, N22(91, 61) ) ( 34, N21(23, 64) ) ( 35, N31(87, 86) ) 

individual 7: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N32(119, 53) ) ( 3, N11(142, 32) ) ( 4, N18(35, 44) ) ( 5, N8(127, 136) ) ( 6, N15(21, 138) ) ( 7, N7(95, 142) ) ( 8, G(1, 1) )( 9, N20(122, 33) ) ( 10, N10(52, 3) ) ( 11, N9(41, 4) ) ( 12, N27(36, 37) ) ( 13, N12(21, 66) ) ( 14, N29(128, 48) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N13(68, 95) ) ( 18, N14(147, 76) ) ( 19, N22(91, 61) ) ( 20, N25(62, 107) ) ( 21, N19(53, 11) ) ( 22, G(1, 3) )( 23, N30(11, 94) ) ( 24, N6(11, 141) ) ( 25, N26(137, 109) ) ( 26, N24(47, 144) ) ( 27, N31(87, 86) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N16(69, 112) ) ( 31, N21(23, 64) ) ( 32, N-1 ) ( 33, N23(103, 68) ) ( 34, N17(117, 149) ) ( 35, N28(83, 47) ) 

individual 8: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N13(68, 95) ) ( 3, N6(11, 141) ) ( 4, N23(103, 68) ) ( 5, N29(128, 48) ) ( 6, N9(41, 4) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N7(95, 142) ) ( 10, N30(11, 94) ) ( 11, N19(53, 11) ) ( 12, N10(52, 3) ) ( 13, N16(69, 112) ) ( 14, N17(117, 149) ) ( 15, G(1, 2) )( 16, N21(23, 64) ) ( 17, N8(127, 136) ) ( 18, N11(142, 32) ) ( 19, N14(147, 76) ) ( 20, N32(119, 53) ) ( 21, N27(36, 37) ) ( 22, G(1, 3) )( 23, N31(87, 86) ) ( 24, N15(21, 138) ) ( 25, N18(35, 44) ) ( 26, N25(62, 107) ) ( 27, N22(91, 61) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N12(21, 66) ) ( 31, N24(47, 144) ) ( 32, N-1 ) ( 33, N20(122, 33) ) ( 34, N26(137, 109) ) ( 35, N28(83, 47) ) 

individual 9: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N24(47, 144) ) ( 3, N10(52, 3) ) ( 4, N14(147, 76) ) ( 5, N28(83, 47) ) ( 6, N6(11, 141) ) ( 7, N31(87, 86) ) ( 8, G(1, 1) )( 9, N8(127, 136) ) ( 10, N20(122, 33) ) ( 11, N26(137, 109) ) ( 12, N23(103, 68) ) ( 13, N17(117, 149) ) ( 14, N7(95, 142) ) ( 15, G(1, 2) )( 16, N15(21, 138) ) ( 17, N12(21, 66) ) ( 18, N16(69, 112) ) ( 19, N21(23, 64) ) ( 20, N30(11, 94) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N13(68, 95) ) ( 24, N29(128, 48) ) ( 25, N11(142, 32) ) ( 26, N18(35, 44) ) ( 27, N25(62, 107) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N9(41, 4) ) ( 31, N32(119, 53) ) ( 32, N27(36, 37) ) ( 33, N19(53, 11) ) ( 34, N22(91, 61) ) ( 35, N-1 ) 

individual 10: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N6(11, 141) ) ( 3, N24(47, 144) ) ( 4, N31(87, 86) ) ( 5, N14(147, 76) ) ( 6, N10(52, 3) ) ( 7, N28(83, 47) ) ( 8, G(1, 1) )( 9, N8(127, 136) ) ( 10, N20(122, 33) ) ( 11, N26(137, 109) ) ( 12, N23(103, 68) ) ( 13, N17(117, 149) ) ( 14, N7(95, 142) ) ( 15, G(1, 2) )( 16, N15(21, 138) ) ( 17, N12(21, 66) ) ( 18, N16(69, 112) ) ( 19, N21(23, 64) ) ( 20, N30(11, 94) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N11(142, 32) ) ( 24, N29(128, 48) ) ( 25, N25(62, 107) ) ( 26, N13(68, 95) ) ( 27, N18(35, 44) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N9(41, 4) ) ( 31, N32(119, 53) ) ( 32, N27(36, 37) ) ( 33, N19(53, 11) ) ( 34, N22(91, 61) ) ( 35, N-1 ) 

individual 11: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N6(11, 141) ) ( 3, N24(47, 144) ) ( 4, N8(127, 136) ) ( 5, N20(122, 33) ) ( 6, N21(23, 64) ) ( 7, N11(142, 32) ) ( 8, G(1, 1) )( 9, N-1 ) ( 10, N26(137, 109) ) ( 11, N17(117, 149) ) ( 12, N-1 ) ( 13, N12(21, 66) ) ( 14, N23(103, 68) ) ( 15, G(1, 2) )( 16, N32(119, 53) ) ( 17, N30(11, 94) ) ( 18, N15(21, 138) ) ( 19, N29(128, 48) ) ( 20, N-1 ) ( 21, N31(87, 86) ) ( 22, G(1, 3) )( 23, N14(147, 76) ) ( 24, N10(52, 3) ) ( 25, N7(95, 142) ) ( 26, N9(41, 4) ) ( 27, N19(53, 11) ) ( 28, N22(91, 61) ) ( 29, G(1, 4) )( 30, N16(69, 112) ) ( 31, N25(62, 107) ) ( 32, N28(83, 47) ) ( 33, N13(68, 95) ) ( 34, N18(35, 44) ) ( 35, N27(36, 37) ) 

individual 12: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N13(68, 95) ) ( 3, N6(11, 141) ) ( 4, N23(103, 68) ) ( 5, N29(128, 48) ) ( 6, N9(41, 4) ) ( 7, N-1 ) ( 8, G(1, 1) )( 9, N7(95, 142) ) ( 10, N30(11, 94) ) ( 11, N19(53, 11) ) ( 12, N10(52, 3) ) ( 13, N16(69, 112) ) ( 14, N17(117, 149) ) ( 15, G(1, 2) )( 16, N21(23, 64) ) ( 17, N8(127, 136) ) ( 18, N11(142, 32) ) ( 19, N14(147, 76) ) ( 20, N32(119, 53) ) ( 21, N27(36, 37) ) ( 22, G(1, 3) )( 23, N31(87, 86) ) ( 24, N22(91, 61) ) ( 25, N25(62, 107) ) ( 26, N15(21, 138) ) ( 27, N18(35, 44) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N12(21, 66) ) ( 31, N24(47, 144) ) ( 32, N-1 ) ( 33, N20(122, 33) ) ( 34, N26(137, 109) ) ( 35, N28(83, 47) ) 

individual 13: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N9(41, 4) ) ( 3, N6(11, 141) ) ( 4, N27(36, 37) ) ( 5, N10(52, 3) ) ( 6, N-1 ) ( 7, N8(127, 136) ) ( 8, G(1, 1) )( 9, N12(21, 66) ) ( 10, N7(95, 142) ) ( 11, N29(128, 48) ) ( 12, N20(122, 33) ) ( 13, N31(87, 86) ) ( 14, N22(91, 61) ) ( 15, G(1, 2) )( 16, N17(117, 149) ) ( 17, N13(68, 95) ) ( 18, N21(23, 64) ) ( 19, N11(142, 32) ) ( 20, N-1 ) ( 21, N25(62, 107) ) ( 22, G(1, 3) )( 23, N23(103, 68) ) ( 24, N19(53, 11) ) ( 25, N14(147, 76) ) ( 26, N32(119, 53) ) ( 27, N15(21, 138) ) ( 28, N24(47, 144) ) ( 29, G(1, 4) )( 30, N16(69, 112) ) ( 31, N18(35, 44) ) ( 32, N26(137, 109) ) ( 33, N-1 ) ( 34, N30(11, 94) ) ( 35, N28(83, 47) ) 

individual 14: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N30(11, 94) ) ( 3, N12(21, 66) ) ( 4, N16(69, 112) ) ( 5, N19(53, 11) ) ( 6, N28(83, 47) ) ( 7, N20(122, 33) ) ( 8, G(1, 1) )( 9, N25(62, 107) ) ( 10, N6(11, 141) ) ( 11, N9(41, 4) ) ( 12, N32(119, 53) ) ( 13, N8(127, 136) ) ( 14, N10(52, 3) ) ( 15, G(1, 2) )( 16, N18(35, 44) ) ( 17, N26(137, 109) ) ( 18, N11(142, 32) ) ( 19, N14(147, 76) ) ( 20, N21(23, 64) ) ( 21, N-1 ) ( 22, G(1, 3) )( 23, N15(21, 138) ) ( 24, N13(68, 95) ) ( 25, N17(117, 149) ) ( 26, N31(87, 86) ) ( 27, N27(36, 37) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N29(128, 48) ) ( 31, N22(91, 61) ) ( 32, N23(103, 68) ) ( 33, N24(47, 144) ) ( 34, N7(95, 142) ) ( 35, N-1 ) 

individual 15: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N23(103, 68) ) ( 3, N19(53, 11) ) ( 4, N11(142, 32) ) ( 5, N-1 ) ( 6, N7(95, 142) ) ( 7, N20(122, 33) ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N12(21, 66) ) ( 11, N16(69, 112) ) ( 12, N32(119, 53) ) ( 13, N30(11, 94) ) ( 14, N21(23, 64) ) ( 15, G(1, 2) )( 16, N-1 ) ( 17, N9(41, 4) ) ( 18, N13(68, 95) ) ( 19, N17(117, 149) ) ( 20, N25(62, 107) ) ( 21, N22(91, 61) ) ( 22, G(1, 3) )( 23, N8(127, 136) ) ( 24, N10(52, 3) ) ( 25, N18(35, 44) ) ( 26, N14(147, 76) ) ( 27, N31(87, 86) ) ( 28, N24(47, 144) ) ( 29, G(1, 4) )( 30, N27(36, 37) ) ( 31, N29(128, 48) ) ( 32, N-1 ) ( 33, N6(11, 141) ) ( 34, N28(83, 47) ) ( 35, N26(137, 109) ) 

individual 16: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N17(117, 149) ) ( 3, N18(35, 44) ) ( 4, N14(147, 76) ) ( 5, N24(47, 144) ) ( 6, N28(83, 47) ) ( 7, N13(68, 95) ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N16(69, 112) ) ( 11, N23(103, 68) ) ( 12, N7(95, 142) ) ( 13, N11(142, 32) ) ( 14, N20(122, 33) ) ( 15, G(1, 2) )( 16, N9(41, 4) ) ( 17, N-1 ) ( 18, N-1 ) ( 19, N29(128, 48) ) ( 20, N12(21, 66) ) ( 21, N21(23, 64) ) ( 22, G(1, 3) )( 23, N25(62, 107) ) ( 24, N32(119, 53) ) ( 25, N19(53, 11) ) ( 26, N27(36, 37) ) ( 27, N10(52, 3) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N8(127, 136) ) ( 31, N6(11, 141) ) ( 32, N30(11, 94) ) ( 33, N26(137, 109) ) ( 34, N22(91, 61) ) ( 35, N31(87, 86) ) 

individual 17: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N7(95, 142) ) ( 3, N18(35, 44) ) ( 4, N13(68, 95) ) ( 5, N12(21, 66) ) ( 6, N21(23, 64) ) ( 7, N15(21, 138) ) ( 8, G(1, 1) )( 9, N29(128, 48) ) ( 10, N16(69, 112) ) ( 11, N24(47, 144) ) ( 12, N30(11, 94) ) ( 13, N25(62, 107) ) ( 14, N22(91, 61) ) ( 15, G(1, 2) )( 16, N14(147, 76) ) ( 17, N8(127, 136) ) ( 18, N32(119, 53) ) ( 19, N19(53, 11) ) ( 20, N27(36, 37) ) ( 21, N9(41, 4) ) ( 22, G(1, 3) )( 23, N17(117, 149) ) ( 24, N28(83, 47) ) ( 25, N11(142, 32) ) ( 26, N6(11, 141) ) ( 27, N31(87, 86) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N-1 ) ( 31, N23(103, 68) ) ( 32, N10(52, 3) ) ( 33, N-1 ) ( 34, N26(137, 109) ) ( 35, N20(122, 33) ) 

individual 18: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N13(68, 95) ) ( 3, N14(147, 76) ) ( 4, N19(53, 11) ) ( 5, N-1 ) ( 6, N10(52, 3) ) ( 7, N8(127, 136) ) ( 8, G(1, 1) )( 9, N12(21, 66) ) ( 10, N29(128, 48) ) ( 11, N11(142, 32) ) ( 12, N21(23, 64) ) ( 13, N30(11, 94) ) ( 14, N26(137, 109) ) ( 15, G(1, 2) )( 16, N23(103, 68) ) ( 17, N17(117, 149) ) ( 18, N22(91, 61) ) ( 19, N27(36, 37) ) ( 20, N9(41, 4) ) ( 21, N28(83, 47) ) ( 22, G(1, 3) )( 23, N7(95, 142) ) ( 24, N15(21, 138) ) ( 25, N32(119, 53) ) ( 26, N16(69, 112) ) ( 27, N6(11, 141) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N31(87, 86) ) ( 31, N18(35, 44) ) ( 32, N-1 ) ( 33, N25(62, 107) ) ( 34, N20(122, 33) ) ( 35, N24(47, 144) ) 

individual 19: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N29(128, 48) ) ( 3, N7(95, 142) ) ( 4, N9(41, 4) ) ( 5, N10(52, 3) ) ( 6, N28(83, 47) ) ( 7, N13(68, 95) ) ( 8, G(1, 1) )( 9, N15(21, 138) ) ( 10, N22(91, 61) ) ( 11, N25(62, 107) ) ( 12, N21(23, 64) ) ( 13, N17(117, 149) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N11(142, 32) ) ( 17, N26(137, 109) ) ( 18, N32(119, 53) ) ( 19, N14(147, 76) ) ( 20, N20(122, 33) ) ( 21, N16(69, 112) ) ( 22, G(1, 3) )( 23, N19(53, 11) ) ( 24, N12(21, 66) ) ( 25, N30(11, 94) ) ( 26, N6(11, 141) ) ( 27, N24(47, 144) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N8(127, 136) ) ( 31, N23(103, 68) ) ( 32, N18(35, 44) ) ( 33, N27(36, 37) ) ( 34, N-1 ) ( 35, N31(87, 86) ) 

individual 20: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N6(11, 141) ) ( 3, N29(128, 48) ) ( 4, N24(47, 144) ) ( 5, N10(52, 3) ) ( 6, N22(91, 61) ) ( 7, N7(95, 142) ) ( 8, G(1, 1) )( 9, N30(11, 94) ) ( 10, N8(127, 136) ) ( 11, N9(41, 4) ) ( 12, N17(117, 149) ) ( 13, N14(147, 76) ) ( 14, N23(103, 68) ) ( 15, G(1, 2) )( 16, N13(68, 95) ) ( 17, N19(53, 11) ) ( 18, N11(142, 32) ) ( 19, N-1 ) ( 20, N26(137, 109) ) ( 21, N18(35, 44) ) ( 22, G(1, 3) )( 23, N25(62, 107) ) ( 24, N31(87, 86) ) ( 25, N28(83, 47) ) ( 26, N16(69, 112) ) ( 27, N15(21, 138) ) ( 28, N27(36, 37) ) ( 29, G(1, 4) )( 30, N20(122, 33) ) ( 31, N32(119, 53) ) ( 32, N21(23, 64) ) ( 33, N-1 ) ( 34, N12(21, 66) ) ( 35, N-1 ) 

individual 21: ( 0, G(0, 0) )( 1, G(1, 0) )( 2, N14(147, 76) ) ( 3, N11(142, 32) ) ( 4, N8(127, 136) ) ( 5, N20(122, 33) ) ( 6, N25(62, 107) ) ( 7, N30(11, 94) ) ( 8, G(1, 1) )( 9, N7(95, 142) ) ( 10, N10(52, 3) ) ( 11, N31(87, 86) ) ( 12, N9(41, 4) ) ( 13, N26(137, 109) ) ( 14, N-1 ) ( 15, G(1, 2) )( 16, N28(83, 47) ) ( 17, N17(117, 149) ) ( 18, N23(103, 68) ) ( 19, N-1 ) ( 20, N6(11, 141) ) ( 21, N12(21, 66) ) ( 22, G(1, 3) )( 23, N29(128, 48) ) ( 24, N24(47, 144) ) ( 25, N22(91, 61) ) ( 26, N16(69, 112) ) ( 27, N15(21, 138) ) ( 28, N-1 ) ( 29, G(1, 4) )( 30, N27(36, 37) ) ( 31, N19(53, 11) ) ( 32, N13(68, 95) ) ( 33, N18(35, 44) ) ( 34, N21(23, 64) ) ( 35, N32(119, 53) ) 

